customer_id,first_name,last_name,loan_status,loan_type,loan_id,remaining_balance,credit_score
CUST-11241,Robert,Meyers,Active,Home,LN-20530,900000,846
CUST-11254,John,Byrd,Active,Home,LN-20170,300000,508
CUST-11280,Ralph,Salazar,Active,Home,LN-20425,3000000,591
CUST-11389,Matthew,Martinez,Active,Home,LN-20385,3000000,744
CUST-11394,Christina,Graham,Active,Home,LN-21186,60000,599
CUST-11445,Glen,Schultz,Active,Home,LN-21324,3000000,751
CUST-10105,Mark,Eaton,Active,Home,LN-21134,3000000,369
CUST-10150,Amanda,Mccullough,Active,Home,LN-21118,900000,825
CUST-10228,Richard,Harrington,Active,Home,LN-20647,3000000,778
CUST-10259,Eric,Donaldson,Active,Home,LN-20652,300000,478
CUST-10287,Frank,Jordan,Active,Home,LN-20692,300000,422
CUST-10400,Johnathan,Schmidt,Active,Home,LN-20816,900000,417
CUST-10404,Adam,Carlson,Active,Home,LN-21462,900000,384
CUST-10483,Barry,Hubbard,Active,Home,LN-20395,900000,552
CUST-10805,David,Scott,Active,Home,LN-20399,300000,703
CUST-10859,Richard,Olson,Active,Home,LN-20123,300000,402
CUST-10872,Erin,Stout,Active,Home,LN-20146,3000000,367
CUST-11146,Katelyn,Caldwell,Active,Home,LN-20000,60000,460
CUST-11213,Edwin,Martinez,Active,Home,LN-20700,60000,406
CUST-11295,Adam,Flowers,Active,Home,LN-20158,3000000,826
CUST-11356,Tiffany,Campbell,Active,Home,LN-20314,3000000,598
CUST-11388,Andrea,Perez,Active,Home,LN-21217,60000,733
CUST-11487,Justin,Pitts,Active,Home,LN-20312,900000,777
CUST-10222,Jeffrey,Owens,Active,Home,LN-20758,60000,412
CUST-10592,Victor,Johnson,Active,Home,LN-21095,3000000,693
CUST-11047,Nicole,Russell,Active,Home,LN-20521,60000,605
CUST-11087,Wanda,Morgan,Active,Home,LN-20996,900000,710
CUST-11434,Toni,Graves,Active,Home,LN-20698,900000,462
CUST-10008,Megan,Singh,Active,Home,LN-20709,900000,374
CUST-10017,Elizabeth,Vasquez,Active,Home,LN-21339,300000,612
CUST-10231,Jeremiah,Lopez,Active,Home,LN-21423,300000,638
CUST-10313,Joshua,Wagner,Active,Home,LN-20132,60000,633
CUST-10360,Sara,Macdonald,Active,Home,LN-21004,900000,455
CUST-10383,Derek,Lucas,Active,Home,LN-20505,900000,479
CUST-10398,James,Larson,Active,Home,LN-21394,300000,571
CUST-10412,Jennifer,Hayes,Active,Home,LN-21336,900000,451
CUST-10441,Steven,Nunez,Active,Home,LN-21289,300000,646
CUST-10521,Kevin,Campbell,Active,Home,LN-21065,60000,529
CUST-10636,Laura,Andrews,Active,Home,LN-20224,300000,378
CUST-10668,Justin,Newman,Active,Home,LN-20938,300000,496
CUST-10829,Caitlin,Smith,Active,Home,LN-20857,60000,446
CUST-10839,Stephanie,Roman,Active,Home,LN-20892,300000,847
CUST-10905,Melissa,Gonzalez,Active,Home,LN-20155,300000,789
CUST-10930,Stephanie,Boyd,Active,Home,LN-20031,300000,694
CUST-10936,Lisa,Barnes,Active,Home,LN-21342,3000000,784
CUST-10974,Barry,Ruiz,Active,Home,LN-21441,300000,630
CUST-11065,Zachary,Contreras,Active,Home,LN-20382,300000,767
CUST-11098,Eduardo,Shelton,Active,Home,LN-20435,900000,621
CUST-11145,Wendy,Lopez,Active,Home,LN-21244,3000000,758
CUST-11188,John,Dawson,Active,Home,LN-20693,60000,300
CUST-11226,Mark,Kirby,Active,Home,LN-21487,900000,665
CUST-11335,Jeffrey,Sanders,Active,Home,LN-20514,900000,844
CUST-11336,Tracey,Lewis,Active,Home,LN-21205,300000,496
CUST-11370,Timothy,Noble,Active,Home,LN-20759,300000,594
CUST-10139,Jay,Morrison,Active,Home,LN-21230,3000000,683
CUST-10142,Michael,Montes,Active,Home,LN-20568,300000,641
CUST-10261,Mark,Gibbs,Active,Home,LN-20788,60000,569
CUST-10414,Travis,Pearson,Active,Home,LN-20018,3000000,780
CUST-10490,Brian,Morgan,Active,Home,LN-21366,60000,368
CUST-10580,Kristy,Golden,Active,Home,LN-20735,300000,653
CUST-10619,Michael,Dean,Active,Home,LN-21247,900000,320
CUST-10766,Timothy,Caldwell,Active,Home,LN-21356,3000000,420
CUST-10775,Brooke,Young,Active,Home,LN-20994,3000000,607
CUST-10792,Jessica,Webster,Active,Home,LN-20298,60000,429
CUST-10802,Stephen,Calderon,Active,Home,LN-20629,60000,595
CUST-11043,Jose,Wilson,Active,Home,LN-21047,60000,714
CUST-11068,Eric,Daniels,Active,Home,LN-20238,300000,529
CUST-11127,Robert,Carlson,Active,Home,LN-20902,60000,496
CUST-11314,Alexandra,Chavez,Active,Home,LN-20672,60000,404
CUST-11375,Tracy,Barnett,Active,Home,LN-20833,900000,777
CUST-11417,Johnathan,Thomas,Active,Home,LN-21370,3000000,686
CUST-10082,Erin,Lopez,Active,Home,LN-21045,60000,572
CUST-10148,Amanda,Robinson,Active,Home,LN-20624,900000,829
CUST-10237,Melissa,Morgan,Active,Home,LN-21070,3000000,482
CUST-10239,Heather,White,Active,Home,LN-20912,3000000,367
CUST-10256,Amy,Murphy,Active,Home,LN-20968,3000000,458
CUST-10418,Joseph,Owens,Active,Home,LN-20161,60000,534
CUST-10424,Jacqueline,Moran,Active,Home,LN-20688,3000000,381
CUST-10449,Jennifer,Torres,Active,Home,LN-20190,60000,451
CUST-10612,Alexander,Johnson,Active,Home,LN-20400,60000,534
CUST-10617,James,Moore,Active,Home,LN-20714,3000000,762
CUST-10795,Heidi,Sparks,Active,Home,LN-20213,900000,679
CUST-11152,Omar,Evans,Active,Home,LN-20674,300000,410
CUST-11221,Robin,Hampton,Active,Home,LN-21237,60000,647
CUST-11478,Selena,Schmitt,Active,Home,LN-20958,300000,463
CUST-10263,Lori,Hall,Active,Home,LN-20079,900000,429
CUST-10622,Marc,Morales,Active,Home,LN-21191,900000,554
CUST-10631,April,Lee,Active,Home,LN-21288,60000,678
CUST-10660,Evelyn,Peterson,Active,Home,LN-21480,900000,664
CUST-10735,Emily,Hess,Active,Home,LN-20541,3000000,633
CUST-10810,Sonia,Miller,Active,Home,LN-20555,60000,422
CUST-10832,Bryan,Jimenez,Active,Home,LN-20947,900000,703
CUST-10964,Andrea,Terry,Active,Home,LN-20264,60000,685
CUST-11061,Monique,Vasquez,Active,Home,LN-21273,60000,771
CUST-11272,Samuel,Beasley,Active,Home,LN-20302,3000000,745
CUST-11350,Chase,Brooks,Active,Home,LN-20724,60000,836
CUST-11382,Teresa,Gutierrez,Active,Home,LN-21473,60000,646
CUST-11470,Mary,Hayes,Active,Home,LN-20622,300000,664
CUST-11499,David,Williams,Active,Home,LN-21427,3000000,645
CUST-10204,Christopher,Cantrell,Active,Home,LN-21167,900000,461
CUST-10252,Lawrence,Delacruz,Active,Home,LN-20604,3000000,725
CUST-10270,Charles,Maldonado,Active,Home,LN-21274,60000,483
CUST-10563,Cameron,White,Active,Home,LN-20054,900000,688
CUST-10819,Rebecca,Day,Active,Home,LN-20991,60000,304
CUST-10934,Jason,Lopez,Active,Home,LN-20921,300000,696
CUST-11148,Dawn,Bradley,Active,Home,LN-20956,3000000,754
CUST-11151,Marissa,Patterson,Active,Home,LN-21497,3000000,358
CUST-11302,Frank,Gilbert,Active,Home,LN-20872,300000,816
CUST-11352,Amy,Whitehead,Active,Home,LN-21158,900000,761
CUST-11373,Chelsea,Rodriguez,Active,Home,LN-20463,60000,469
CUST-11459,Melissa,Garcia,Active,Home,LN-21267,3000000,435
CUST-10092,Joshua,Anderson,Active,Home,LN-20091,900000,723
CUST-10126,Douglas,Lopez,Active,Home,LN-20108,60000,343
CUST-10200,Lindsey,Jones,Active,Home,LN-20174,300000,583
CUST-10260,Kelsey,Johnson,Active,Home,LN-20325,3000000,408
CUST-10333,John,Bryan,Active,Home,LN-20449,60000,695
CUST-10346,Nancy,Parker,Active,Home,LN-21463,300000,432
CUST-10351,Vanessa,Gaines,Active,Home,LN-20414,3000000,480
CUST-10387,Mary,Johnson,Active,Home,LN-20498,3000000,578
CUST-10589,Brittany,Gonzalez,Active,Home,LN-21176,900000,612
CUST-10923,Christopher,Martin,Active,Home,LN-20726,300000,423
CUST-11102,Connie,Bailey,Active,Home,LN-21001,300000,397
CUST-11111,Rebecca,Bates,Active,Home,LN-20181,3000000,438
CUST-11306,Tiffany,Williams,Active,Home,LN-21110,300000,812
CUST-11397,Leah,Joseph,Active,Home,LN-20284,300000,716
CUST-10062,Allen,Arroyo,Active,Home,LN-20976,60000,429
CUST-10075,Joanne,Greene,Active,Home,LN-21146,3000000,790
CUST-10113,Tammy,Duke,Active,Home,LN-20612,300000,364
CUST-10158,Andrea,Martinez,Active,Home,LN-21378,900000,421
CUST-10225,Betty,Martin,Active,Home,LN-20279,60000,313
CUST-10663,Jeffrey,Morris,Active,Home,LN-21025,900000,728
CUST-10708,Kelsey,Pham,Active,Home,LN-20613,60000,357
CUST-10724,Tammy,Thomas,Active,Home,LN-20500,3000000,515
CUST-10848,Susan,Shelton,Active,Home,LN-20440,3000000,541
CUST-11093,Brenda,Clarke,Active,Home,LN-20589,900000,341
CUST-11106,Bobby,Gonzalez,Active,Home,LN-20336,300000,385
CUST-11115,Juan,Morgan,Active,Home,LN-21232,60000,821
CUST-11184,Kara,Ferguson,Active,Home,LN-20183,900000,488
CUST-11297,Amanda,Rivera,Active,Home,LN-20180,3000000,434
CUST-11429,Kristin,Davis,Active,Home,LN-21499,900000,731
CUST-11450,Keith,Roberts,Active,Home,LN-20966,300000,823
CUST-10033,Jennifer,Young,Active,Home,LN-20211,300000,804
CUST-10298,Jennifer,Roach,Active,Home,LN-20533,3000000,674
CUST-10635,John,Campbell,Active,Home,LN-21266,900000,720
CUST-10731,Karen,Moreno,Active,Home,LN-20744,300000,628
CUST-10755,Nicole,Mcneil,Active,Home,LN-20194,300000,346
CUST-10969,Geoffrey,Stone,Active,Home,LN-20203,3000000,566
CUST-11026,Daniel,Santana,Active,Home,LN-21013,300000,813
CUST-11172,Mark,Trevino,Active,Home,LN-20229,3000000,410
CUST-11180,Joshua,Sims,Active,Home,LN-20782,60000,680
CUST-11214,John,Edwards,Active,Home,LN-21470,900000,810
CUST-11325,Luis,Fischer,Active,Home,LN-20983,300000,421
CUST-11412,William,King,Active,Home,LN-20405,300000,754
CUST-10021,Renee,Lamb,Active,Home,LN-21482,900000,481
CUST-10497,Nicole,Nichols,Active,Home,LN-20285,300000,585
CUST-10525,Matthew,Wood,Active,Home,LN-21252,900000,385
CUST-10818,Brandi,Fitzgerald,Active,Home,LN-21313,300000,492
CUST-10861,Jessica,Simpson,Active,Home,LN-21231,60000,402
CUST-11283,Thomas,Ramirez,Active,Home,LN-21268,60000,420
CUST-11291,Tina,Spencer,Active,Home,LN-20189,300000,351
CUST-11343,Melvin,Pace,Active,Home,LN-21054,300000,440
CUST-11348,Kayla,Sherman,Active,Home,LN-21422,60000,555
CUST-11400,Stacey,Oconnor,Active,Home,LN-20173,60000,486
