loan_id,customer_id,loan_type,loan_status,first_name,last_name
LN-20091,CUST-10092,Home,Active,Joshua,Anderson
LN-20155,CUST-10905,Home,Active,Melissa,Gonzalez
LN-20162,CUST-10273,Home,Active,Ryan,Wilkins
LN-20492,CUST-10962,Home,Active,James,Russell
LN-20079,CUST-10263,Home,Active,Lori,Hall
LN-20173,CUST-11400,Home,Active,Stacey,Oconnor
LN-20402,CUST-10427,Home,Active,Jessica,Rice
LN-20498,CUST-10387,Home,Active,Mary,Johnson
LN-20018,CUST-10414,Home,Active,Travis,Pearson
LN-20057,CUST-10926,Home,Active,Daniel,Smith
LN-20096,CUST-10156,Home,Active,Cynthia,Douglas
LN-20174,CUST-10200,Home,Active,Lindsey,Jones
LN-20190,CUST-10449,Home,Active,Jennifer,Torres
LN-20194,CUST-10755,Home,Active,Nicole,Mcneil
LN-20248,CUST-10956,Home,Active,Debra,Jordan
LN-20326,CUST-10132,Home,Active,Victoria,Lara
LN-20382,CUST-11065,Home,Active,Zachary,Contreras
LN-20298,CUST-10792,Home,Active,Jessica,Webster
LN-20312,CUST-11487,Home,Active,Justin,Pitts
LN-20327,CUST-11425,Home,Active,Lisa,Harrison
LN-20463,CUST-11373,Home,Active,Chelsea,Rodriguez
LN-20005,CUST-10538,Home,Active,Joshua,Jefferson
LN-20229,CUST-11172,Home,Active,Mark,Trevino
LN-20238,CUST-11068,Home,Active,Eric,Daniels
LN-20370,CUST-10797,Home,Active,Megan,Gilbert
LN-20399,CUST-10805,Home,Active,David,Scott
LN-20449,CUST-10333,Home,Active,John,Bryan
LN-20161,CUST-10418,Home,Active,Joseph,Owens
LN-20180,CUST-11297,Home,Active,Amanda,Rivera
LN-20204,CUST-10729,Home,Active,Rebecca,Brown
LN-20054,CUST-10563,Home,Active,Cameron,White
LN-20181,CUST-11111,Home,Active,Rebecca,Bates
LN-20302,CUST-11272,Home,Active,Samuel,Beasley
LN-20179,CUST-10837,Home,Active,Adrian,Robinson
LN-20336,CUST-11106,Home,Active,Bobby,Gonzalez
LN-20441,CUST-10174,Home,Active,Amanda,Anderson
LN-20534,CUST-11221,Home,Active,Robin,Hampton
LN-20571,CUST-11048,Home,Active,Jessica,Combs
LN-20607,CUST-10538,Home,Active,Joshua,Jefferson
LN-20759,CUST-11370,Home,Active,Timothy,Noble
LN-20827,CUST-10438,Home,Active,Omar,Douglas
LN-20968,CUST-10256,Home,Active,Amy,Murphy
LN-20535,CUST-10663,Home,Active,Jeffrey,Morris
LN-20784,CUST-10360,Home,Active,Sara,Macdonald
LN-20541,CUST-10735,Home,Active,Emily,Hess
LN-20593,CUST-10748,Home,Active,Maurice,Hardy
LN-20612,CUST-10113,Home,Active,Tammy,Duke
LN-20619,CUST-11125,Home,Active,Jennifer,Cook
LN-20688,CUST-10424,Home,Active,Jacqueline,Moran
LN-20859,CUST-10898,Home,Active,Henry,Sanders
LN-20902,CUST-11127,Home,Active,Robert,Carlson
LN-20500,CUST-10724,Home,Active,Tammy,Thomas
LN-20599,CUST-10700,Home,Active,Aaron,Hill
LN-20709,CUST-10008,Home,Active,Megan,Singh
LN-20891,CUST-11264,Home,Active,Michael,Parker
LN-20921,CUST-10934,Home,Active,Jason,Lopez
LN-20994,CUST-10775,Home,Active,Brooke,Young
