customer_id,first_name,last_name,email,phone,date_of_birth,loan_type,loan_status,principal_amount,remaining_balance
CUST-10132,V***,L***,m***@gmail.com,******6501,[MASKED],Home,Active,100000,60000
CUST-10199,M***,S***,j***@hotmail.com,******1725,[MASKED],Home,Active,5000000,3000000
CUST-10273,R***,W***,d***@gmail.com,******6635,[MASKED],Home,Active,500000,300000
CUST-10315,A***,O***,a***@hotmail.com,******4189,[MASKED],Home,Active,500000,300000
CUST-10427,J***,R***,c***@yahoo.com,******5014,[MASKED],Home,Active,100000,60000
CUST-10531,R***,S***,r***@hotmail.com,******6564,[MASKED],Home,Active,100000,60000
CUST-10537,B***,P***,k***@gmail.com,******6924,[MASKED],Home,Active,500000,300000
CUST-10543,R***,S***,c***@gmail.com,******5960,[MASKED],Home,Active,500000,300000
CUST-10594,S***,P***,i***@yahoo.com,******1587,[MASKED],Home,Active,5000000,3000000
CUST-10600,M***,H***,j***@yahoo.com,******0542,[MASKED],Home,Active,100000,60000
CUST-10654,J***,M***,j***@hotmail.com,******5438,[MASKED],Home,Active,1500000,900000
CUST-10834,B***,F***,d***@gmail.com,******2600,[MASKED],Home,Active,100000,60000
CUST-10837,A***,R***,l***@yahoo.com,******7498,[MASKED],Home,Active,1500000,900000
CUST-10944,P***,J***,a***@hotmail.com,******9772,[MASKED],Home,Active,5000000,3000000
CUST-10956,D***,J***,p***@yahoo.com,******7024,[MASKED],Home,Active,500000,300000
CUST-11107,F***,G***,b***@hotmail.com,******4249,[MASKED],Home,Active,500000,300000
CUST-11196,A***,T***,w***@gmail.com,******0420,[MASKED],Home,Active,500000,300000
CUST-11204,T***,W***,m***@gmail.com,******9226,[MASKED],Home,Active,5000000,3000000
CUST-11241,R***,M***,j***@yahoo.com,******9900,[MASKED],Home,Active,1500000,900000
CUST-11254,J***,B***,c***@yahoo.com,******6568,[MASKED],Home,Active,500000,300000
CUST-11280,R***,S***,v***@gmail.com,******2673,[MASKED],Home,Active,5000000,3000000
CUST-11389,M***,M***,s***@yahoo.com,******9838,[MASKED],Home,Active,5000000,3000000
CUST-11394,C***,G***,p***@gmail.com,******1649,[MASKED],Home,Active,100000,60000
CUST-11445,G***,S***,j***@gmail.com,******4223,[MASKED],Home,Active,5000000,3000000
CUST-10105,M***,E***,r***@gmail.com,******1843,[MASKED],Home,Active,5000000,3000000
CUST-10150,A***,M***,s***@gmail.com,******9028,[MASKED],Home,Active,1500000,900000
CUST-10228,R***,H***,j***@yahoo.com,******3948,[MASKED],Home,Active,5000000,3000000
CUST-10259,E***,D***,p***@yahoo.com,******9258,[MASKED],Home,Active,500000,300000
CUST-10287,F***,J***,s***@yahoo.com,******0240,[MASKED],Home,Active,500000,300000
CUST-10400,J***,S***,c***@yahoo.com,******0648,[MASKED],Home,Active,1500000,900000
CUST-10404,A***,C***,s***@hotmail.com,******3374,[MASKED],Home,Active,1500000,900000
CUST-10483,B***,H***,j***@gmail.com,******0029,[MASKED],Home,Active,1500000,900000
CUST-10805,D***,S***,h***@hotmail.com,******8250,[MASKED],Home,Active,500000,300000
CUST-10859,R***,O***,r***@gmail.com,******9001,[MASKED],Home,Active,500000,300000
CUST-10872,E***,S***,d***@hotmail.com,******2298,[MASKED],Home,Active,5000000,3000000
CUST-11146,K***,C***,j***@gmail.com,******4434,[MASKED],Home,Active,100000,60000
CUST-11213,E***,M***,w***@hotmail.com,******3151,[MASKED],Home,Active,100000,60000
CUST-11295,A***,F***,s***@gmail.com,******4935,[MASKED],Home,Active,5000000,3000000
CUST-11356,T***,C***,a***@yahoo.com,******4152,[MASKED],Home,Active,5000000,3000000
CUST-11388,A***,P***,d***@hotmail.com,******8388,[MASKED],Home,Active,100000,60000
CUST-11487,J***,P***,u***@hotmail.com,******1244,[MASKED],Home,Active,1500000,900000
CUST-10222,J***,O***,j***@gmail.com,******3958,[MASKED],Home,Active,100000,60000
CUST-10592,V***,J***,w***@gmail.com,******4753,[MASKED],Home,Active,5000000,3000000
CUST-11047,N***,R***,l***@gmail.com,******1563,[MASKED],Home,Active,100000,60000
CUST-11087,W***,M***,m***@yahoo.com,******8447,[MASKED],Home,Active,1500000,900000
CUST-11434,T***,G***,b***@yahoo.com,******8469,[MASKED],Home,Active,1500000,900000
CUST-10008,M***,S***,r***@yahoo.com,******7823,[MASKED],Home,Active,1500000,900000
CUST-10017,E***,V***,l***@gmail.com,******7667,[MASKED],Home,Active,500000,300000
CUST-10231,J***,L***,r***@yahoo.com,******6104,[MASKED],Home,Active,500000,300000
CUST-10313,J***,W***,d***@yahoo.com,******9771,[MASKED],Home,Active,100000,60000
CUST-10360,S***,M***,j***@yahoo.com,******9835,[MASKED],Home,Active,1500000,900000
CUST-10383,D***,L***,k***@gmail.com,******4732,[MASKED],Home,Active,1500000,900000
CUST-10398,J***,L***,o***@hotmail.com,******3570,[MASKED],Home,Active,500000,300000
CUST-10412,J***,H***,x***@hotmail.com,******2021,[MASKED],Home,Active,1500000,900000
CUST-10441,S***,N***,j***@yahoo.com,******0901,[MASKED],Home,Active,500000,300000
CUST-10521,K***,C***,w***@yahoo.com,******0516,[MASKED],Home,Active,100000,60000
CUST-10636,L***,A***,p***@hotmail.com,******0769,[MASKED],Home,Active,500000,300000
CUST-10668,J***,N***,t***@yahoo.com,******3986,[MASKED],Home,Active,500000,300000
CUST-10829,C***,S***,j***@yahoo.com,******2993,[MASKED],Home,Active,100000,60000
CUST-10839,S***,R***,l***@gmail.com,******2657,[MASKED],Home,Active,500000,300000
CUST-10905,M***,G***,b***@yahoo.com,******4138,[MASKED],Home,Active,500000,300000
CUST-10930,S***,B***,q***@gmail.com,******0464,[MASKED],Home,Active,500000,300000
CUST-10936,L***,B***,s***@gmail.com,******0431,[MASKED],Home,Active,5000000,3000000
CUST-10974,B***,R***,a***@gmail.com,******5239,[MASKED],Home,Active,500000,300000
CUST-11065,Z***,C***,m***@gmail.com,******5131,[MASKED],Home,Active,500000,300000
CUST-11098,E***,S***,t***@hotmail.com,******4522,[MASKED],Home,Active,1500000,900000
CUST-11145,W***,L***,c***@yahoo.com,******8808,[MASKED],Home,Active,5000000,3000000
CUST-11188,J***,D***,d***@gmail.com,******4245,[MASKED],Home,Active,100000,60000
CUST-11226,M***,K***,a***@yahoo.com,******1871,[MASKED],Home,Active,1500000,900000
CUST-11335,J***,S***,c***@hotmail.com,******8884,[MASKED],Home,Active,1500000,900000
CUST-11336,T***,L***,d***@yahoo.com,******4479,[MASKED],Home,Active,500000,300000
CUST-11370,T***,N***,b***@gmail.com,******7184,[MASKED],Home,Active,500000,300000
CUST-10139,J***,M***,f***@hotmail.com,******8237,[MASKED],Home,Active,5000000,3000000
CUST-10142,M***,M***,t***@hotmail.com,******0909,[MASKED],Home,Active,500000,300000
CUST-10261,M***,G***,j***@gmail.com,******5550,[MASKED],Home,Active,100000,60000
CUST-10414,T***,P***,a***@hotmail.com,******3609,[MASKED],Home,Active,5000000,3000000
CUST-10490,B***,M***,x***@gmail.com,******2166,[MASKED],Home,Active,100000,60000
CUST-10580,K***,G***,l***@hotmail.com,******8025,[MASKED],Home,Active,500000,300000
CUST-10619,M***,D***,a***@gmail.com,******0581,[MASKED],Home,Active,1500000,900000
CUST-10766,T***,C***,h***@hotmail.com,******9165,[MASKED],Home,Active,5000000,3000000
CUST-10775,B***,Y***,p***@gmail.com,******8892,[MASKED],Home,Active,5000000,3000000
CUST-10792,J***,W***,j***@gmail.com,******1494,[MASKED],Home,Active,100000,60000
CUST-10802,S***,C***,s***@hotmail.com,******4842,[MASKED],Home,Active,100000,60000
CUST-11043,J***,W***,j***@hotmail.com,******2908,[MASKED],Home,Active,100000,60000
CUST-11068,E***,D***,c***@gmail.com,******4282,[MASKED],Home,Active,500000,300000
CUST-11127,R***,C***,j***@gmail.com,******7391,[MASKED],Home,Active,100000,60000
CUST-11314,A***,C***,m***@yahoo.com,******2303,[MASKED],Home,Active,100000,60000
CUST-11375,T***,B***,p***@hotmail.com,******4115,[MASKED],Home,Active,1500000,900000
CUST-11417,J***,T***,p***@hotmail.com,******4663,[MASKED],Home,Active,5000000,3000000
CUST-10082,E***,L***,r***@yahoo.com,******3865,[MASKED],Home,Active,100000,60000
CUST-10148,A***,R***,b***@hotmail.com,******6709,[MASKED],Home,Active,1500000,900000
CUST-10237,M***,M***,j***@hotmail.com,******1938,[MASKED],Home,Active,5000000,3000000
CUST-10239,H***,W***,e***@gmail.com,******7274,[MASKED],Home,Active,5000000,3000000
CUST-10256,A***,M***,k***@gmail.com,******0254,[MASKED],Home,Active,5000000,3000000
CUST-10418,J***,O***,s***@yahoo.com,******7849,[MASKED],Home,Active,100000,60000
CUST-10424,J***,M***,b***@gmail.com,******2594,[MASKED],Home,Active,5000000,3000000
CUST-10449,J***,T***,s***@yahoo.com,******2994,[MASKED],Home,Active,100000,60000
CUST-10612,A***,J***,m***@hotmail.com,******6800,[MASKED],Home,Active,100000,60000
CUST-10617,J***,M***,m***@gmail.com,******1649,[MASKED],Home,Active,5000000,3000000
CUST-10795,H***,S***,m***@hotmail.com,******3850,[MASKED],Home,Active,1500000,900000
CUST-11152,O***,E***,q***@hotmail.com,******1804,[MASKED],Home,Active,500000,300000
CUST-11221,R***,H***,l***@gmail.com,******7518,[MASKED],Home,Active,100000,60000
CUST-11478,S***,S***,m***@yahoo.com,******3702,[MASKED],Home,Active,500000,300000
CUST-10263,L***,H***,g***@hotmail.com,******9929,[MASKED],Home,Active,1500000,900000
CUST-10622,M***,M***,o***@hotmail.com,******6878,[MASKED],Home,Active,1500000,900000
CUST-10631,A***,L***,a***@yahoo.com,******7571,[MASKED],Home,Active,100000,60000
CUST-10660,E***,P***,w***@hotmail.com,******3474,[MASKED],Home,Active,1500000,900000
CUST-10735,E***,H***,d***@gmail.com,******2337,[MASKED],Home,Active,5000000,3000000
CUST-10810,S***,M***,p***@gmail.com,******8644,[MASKED],Home,Active,100000,60000
CUST-10832,B***,J***,k***@hotmail.com,******1523,[MASKED],Home,Active,1500000,900000
CUST-10964,A***,T***,d***@yahoo.com,******3707,[MASKED],Home,Active,100000,60000
CUST-11061,M***,V***,p***@hotmail.com,******5059,[MASKED],Home,Active,100000,60000
CUST-11272,S***,B***,r***@gmail.com,******5574,[MASKED],Home,Active,5000000,3000000
CUST-11350,C***,B***,j***@hotmail.com,******1984,[MASKED],Home,Active,100000,60000
CUST-11382,T***,G***,m***@gmail.com,******2524,[MASKED],Home,Active,100000,60000
CUST-11470,M***,H***,a***@hotmail.com,******4296,[MASKED],Home,Active,500000,300000
CUST-11499,D***,W***,r***@hotmail.com,******7814,[MASKED],Home,Active,5000000,3000000
CUST-10204,C***,C***,m***@gmail.com,******0162,[MASKED],Home,Active,1500000,900000
CUST-10252,L***,D***,t***@gmail.com,******8378,[MASKED],Home,Active,5000000,3000000
CUST-10270,C***,M***,p***@yahoo.com,******5907,[MASKED],Home,Active,100000,60000
CUST-10563,C***,W***,m***@gmail.com,******8155,[MASKED],Home,Active,1500000,900000
CUST-10819,R***,D***,k***@yahoo.com,******1351,[MASKED],Home,Active,100000,60000
CUST-10934,J***,L***,s***@yahoo.com,******3289,[MASKED],Home,Active,500000,300000
CUST-11148,D***,B***,r***@yahoo.com,******0844,[MASKED],Home,Active,5000000,3000000
CUST-11151,M***,P***,b***@yahoo.com,******7054,[MASKED],Home,Active,5000000,3000000
CUST-11302,F***,G***,q***@gmail.com,******3352,[MASKED],Home,Active,500000,300000
CUST-11352,A***,W***,s***@gmail.com,******0103,[MASKED],Home,Active,1500000,900000
CUST-11373,C***,R***,r***@hotmail.com,******4767,[MASKED],Home,Active,100000,60000
CUST-11459,M***,G***,j***@hotmail.com,******3083,[MASKED],Home,Active,5000000,3000000
CUST-10092,J***,A***,g***@gmail.com,******7043,[MASKED],Home,Active,1500000,900000
CUST-10126,D***,L***,m***@gmail.com,******9767,[MASKED],Home,Active,100000,60000
CUST-10200,L***,J***,k***@gmail.com,******5140,[MASKED],Home,Active,500000,300000
CUST-10260,K***,J***,s***@yahoo.com,******8178,[MASKED],Home,Active,5000000,3000000
CUST-10333,J***,B***,t***@hotmail.com,******5240,[MASKED],Home,Active,100000,60000
CUST-10346,N***,P***,a***@gmail.com,******5080,[MASKED],Home,Active,500000,300000
CUST-10351,V***,G***,m***@hotmail.com,******6757,[MASKED],Home,Active,5000000,3000000
CUST-10387,M***,J***,a***@gmail.com,******7540,[MASKED],Home,Active,5000000,3000000
CUST-10589,B***,G***,m***@gmail.com,******8912,[MASKED],Home,Active,1500000,900000
CUST-10923,C***,M***,j***@yahoo.com,******9102,[MASKED],Home,Active,500000,300000
CUST-11102,C***,B***,m***@yahoo.com,******4288,[MASKED],Home,Active,500000,300000
CUST-11111,R***,B***,g***@hotmail.com,******4724,[MASKED],Home,Active,5000000,3000000
CUST-11306,T***,W***,k***@hotmail.com,******6810,[MASKED],Home,Active,500000,300000
CUST-11397,L***,J***,e***@gmail.com,******4084,[MASKED],Home,Active,500000,300000
CUST-10062,A***,A***,m***@yahoo.com,******0171,[MASKED],Home,Active,100000,60000
CUST-10075,J***,G***,v***@gmail.com,******1585,[MASKED],Home,Active,5000000,3000000
CUST-10113,T***,D***,d***@hotmail.com,******6605,[MASKED],Home,Active,500000,300000
CUST-10158,A***,M***,r***@gmail.com,******5835,[MASKED],Home,Active,1500000,900000
CUST-10225,B***,M***,s***@gmail.com,******0245,[MASKED],Home,Active,100000,60000
CUST-10663,J***,M***,w***@gmail.com,******3409,[MASKED],Home,Active,1500000,900000
CUST-10708,K***,P***,c***@yahoo.com,******6896,[MASKED],Home,Active,100000,60000
CUST-10724,T***,T***,j***@gmail.com,******6587,[MASKED],Home,Active,5000000,3000000
CUST-10848,S***,S***,o***@yahoo.com,******0555,[MASKED],Home,Active,5000000,3000000
CUST-11093,B***,C***,c***@gmail.com,******7298,[MASKED],Home,Active,1500000,900000
CUST-11106,B***,G***,p***@gmail.com,******4548,[MASKED],Home,Active,500000,300000
CUST-11115,J***,M***,c***@hotmail.com,******4589,[MASKED],Home,Active,100000,60000
CUST-11184,K***,F***,a***@gmail.com,******6250,[MASKED],Home,Active,1500000,900000
CUST-11297,A***,R***,s***@yahoo.com,******4390,[MASKED],Home,Active,5000000,3000000
CUST-11429,K***,D***,g***@hotmail.com,******6716,[MASKED],Home,Active,1500000,900000
CUST-11450,K***,R***,p***@yahoo.com,******6092,[MASKED],Home,Active,500000,300000
CUST-10033,J***,Y***,d***@gmail.com,******4356,[MASKED],Home,Active,500000,300000
CUST-10298,J***,R***,m***@yahoo.com,******7579,[MASKED],Home,Active,5000000,3000000
CUST-10635,J***,C***,e***@hotmail.com,******2762,[MASKED],Home,Active,1500000,900000
CUST-10731,K***,M***,f***@yahoo.com,******2274,[MASKED],Home,Active,500000,300000
CUST-10755,N***,M***,j***@hotmail.com,******9672,[MASKED],Home,Active,500000,300000
CUST-10969,G***,S***,h***@hotmail.com,******5122,[MASKED],Home,Active,5000000,3000000
CUST-11026,D***,S***,a***@hotmail.com,******3906,[MASKED],Home,Active,500000,300000
CUST-11172,M***,T***,a***@yahoo.com,******5734,[MASKED],Home,Active,5000000,3000000
CUST-11180,J***,S***,k***@hotmail.com,******2418,[MASKED],Home,Active,100000,60000
CUST-11214,J***,E***,c***@yahoo.com,******5993,[MASKED],Home,Active,1500000,900000
CUST-11325,L***,F***,s***@hotmail.com,******7219,[MASKED],Home,Active,500000,300000
CUST-11412,W***,K***,d***@hotmail.com,******1073,[MASKED],Home,Active,500000,300000
CUST-10021,R***,L***,c***@yahoo.com,******6719,[MASKED],Home,Active,1500000,900000
CUST-10497,N***,N***,v***@yahoo.com,******5392,[MASKED],Home,Active,500000,300000
CUST-10525,M***,W***,j***@yahoo.com,******1917,[MASKED],Home,Active,1500000,900000
CUST-10818,B***,F***,x***@hotmail.com,******7045,[MASKED],Home,Active,500000,300000
CUST-10861,J***,S***,j***@gmail.com,******7956,[MASKED],Home,Active,100000,60000
CUST-11283,T***,R***,s***@gmail.com,******9517,[MASKED],Home,Active,100000,60000
CUST-11291,T***,S***,w***@hotmail.com,******6073,[MASKED],Home,Active,500000,300000
CUST-11343,M***,P***,g***@yahoo.com,******3112,[MASKED],Home,Active,500000,300000
CUST-11348,K***,S***,t***@hotmail.com,******1884,[MASKED],Home,Active,100000,60000
CUST-11400,S***,O***,a***@gmail.com,******8859,[MASKED],Home,Active,100000,60000
