customer_id,first_name,last_name,loan_id,loan_type,loan_status
CUST-10521,Kevin,Campbell,LN-21065,Home,Active
CUST-10531,Robin,Stone,LN-20365,Home,Active
CUST-10617,James,Moore,LN-20714,Home,Active
CUST-10660,Evelyn,Peterson,LN-21480,Home,Active
CUST-10680,Nicole,Klein,LN-21395,Home,Active
CUST-10735,Emily,Hess,LN-20541,Home,Active
CUST-10839,Stephanie,Roman,LN-20892,Home,Active
CUST-10859,Richard,Olson,LN-20123,Home,Active
CUST-10974,Barry,Ruiz,LN-21441,Home,Active
CUST-10670,Amy,Norman,LN-21215,Home,Active
CUST-10834,Brad,Friedman,LN-21207,Home,Active
CUST-10837,Adrian,Robinson,LN-20769,Home,Active
CUST-10563,Cameron,White,LN-20054,Home,Active
CUST-10592,Victor,Johnson,LN-21095,Home,Active
CUST-10605,Catherine,Rodriguez,LN-20783,Home,Active
CUST-10731,Karen,Moreno,LN-20744,Home,Active
CUST-10900,Rhonda,Ibarra,LN-20423,Home,Active
CUST-10926,Daniel,Smith,LN-20057,Home,Active
CUST-10748,Maurice,Hardy,LN-20593,Home,Active
CUST-10829,Caitlin,Smith,LN-20857,Home,Active
CUST-10991,James,Molina,LN-20855,Home,Active
CUST-10589,Brittany,Gonzalez,LN-21176,Home,Active
CUST-10663,Jeffrey,Morris,LN-21025,Home,Active
CUST-10819,Rebecca,Day,LN-20991,Home,Active
CUST-10848,Susan,Shelton,LN-20440,Home,Active
CUST-10905,Melissa,Gonzalez,LN-20155,Home,Active
CUST-10580,Kristy,Golden,LN-20735,Home,Active
CUST-10619,Michael,Dean,LN-21247,Home,Active
CUST-10729,Rebecca,Brown,LN-20204,Home,Active
CUST-10802,Stephen,Calderon,LN-20629,Home,Active
CUST-10832,Bryan,Jimenez,LN-20947,Home,Active
CUST-10898,Henry,Sanders,LN-20859,Home,Active
CUST-10964,Andrea,Terry,LN-20264,Home,Active
CUST-10969,Geoffrey,Stone,LN-20203,Home,Active
CUST-10668,Justin,Newman,LN-20938,Home,Active
CUST-10797,Megan,Gilbert,LN-20370,Home,Active
CUST-10936,Lisa,Barnes,LN-21342,Home,Active
CUST-10944,Patricia,Jones,LN-20510,Home,Active
CUST-11026,Daniel,Santana,LN-21013,Home,Active
CUST-11047,Nicole,Russell,LN-20521,Home,Active
CUST-11152,Omar,Evans,LN-20674,Home,Active
CUST-11314,Alexandra,Chavez,LN-20672,Home,Active
CUST-11394,Christina,Graham,LN-21186,Home,Active
CUST-11409,Natalie,Harris,LN-21305,Home,Active
CUST-11425,Lisa,Harrison,LN-20327,Home,Active
CUST-11106,Bobby,Gonzalez,LN-20336,Home,Active
CUST-11151,Marissa,Patterson,LN-21497,Home,Active
CUST-11180,Joshua,Sims,LN-20782,Home,Active
CUST-11499,David,Williams,LN-21427,Home,Active
CUST-11216,Richard,Simmons,LN-20655,Home,Active
CUST-11407,Timothy,Davis,LN-20452,Home,Active
CUST-11107,Faith,Gutierrez,LN-20803,Home,Active
CUST-11232,Brian,Rowe,LN-21072,Home,Active
CUST-11325,Luis,Fischer,LN-20983,Home,Active
CUST-11434,Toni,Graves,LN-20698,Home,Active
CUST-11445,Glen,Schultz,LN-21324,Home,Active
CUST-11280,Ralph,Salazar,LN-20425,Home,Active
CUST-11343,Melvin,Pace,LN-21054,Home,Active
CUST-11388,Andrea,Perez,LN-21217,Home,Active
CUST-11478,Selena,Schmitt,LN-20958,Home,Active
CUST-11087,Wanda,Morgan,LN-20996,Home,Active
CUST-11111,Rebecca,Bates,LN-20181,Home,Active
CUST-11115,Juan,Morgan,LN-21232,Home,Active
CUST-11170,Kyle,Hutchinson,LN-20283,Home,Active
CUST-11184,Kara,Ferguson,LN-20183,Home,Active
CUST-11194,Dawn,King,LN-20608,Home,Active
CUST-11297,Amanda,Rivera,LN-20180,Home,Active
CUST-11429,Kristin,Davis,LN-21499,Home,Active
CUST-11060,Chad,Weeks,LN-20198,Home,Active
CUST-11102,Connie,Bailey,LN-21001,Home,Active
CUST-11272,Samuel,Beasley,LN-20302,Home,Active
CUST-11300,Rebecca,Taylor,LN-21450,Home,Active
CUST-11370,Timothy,Noble,LN-20759,Home,Active
CUST-11382,Teresa,Gutierrez,LN-21473,Home,Active
CUST-11392,Samantha,Wilson,LN-20897,Home,Active
CUST-11127,Robert,Carlson,LN-20902,Home,Active
CUST-11241,Robert,Meyers,LN-20530,Home,Active
CUST-11356,Tiffany,Campbell,LN-20314,Home,Active
CUST-11417,Johnathan,Thomas,LN-21370,Home,Active
CUST-11450,Keith,Roberts,LN-20966,Home,Active
CUST-11459,Melissa,Garcia,LN-21267,Home,Active
CUST-11148,Dawn,Bradley,LN-20956,Home,Active
CUST-11213,Edwin,Martinez,LN-20700,Home,Active
CUST-11214,John,Edwards,LN-21470,Home,Active
CUST-11226,Mark,Kirby,LN-21487,Home,Active
CUST-11302,Frank,Gilbert,LN-20872,Home,Active
CUST-11373,Chelsea,Rodriguez,LN-20463,Home,Active
CUST-11061,Monique,Vasquez,LN-21273,Home,Active
CUST-11196,April,Taylor,LN-21221,Home,Active
CUST-11285,Kyle,Reed,LN-21012,Home,Active
CUST-11306,Tiffany,Williams,LN-21110,Home,Active
CUST-11322,Renee,Ferguson,LN-20840,Home,Active
CUST-11350,Chase,Brooks,LN-20724,Home,Active
CUST-11412,William,King,LN-20405,Home,Active
CUST-11025,Larry,Lewis,LN-20142,Home,Active
CUST-11043,Jose,Wilson,LN-21047,Home,Active
CUST-11188,John,Dawson,LN-20693,Home,Active
CUST-11204,Timothy,Williams,LN-20868,Home,Active
CUST-11254,John,Byrd,LN-20170,Home,Active
CUST-11352,Amy,Whitehead,LN-21158,Home,Active
CUST-11065,Zachary,Contreras,LN-20382,Home,Active
CUST-11221,Robin,Hampton,LN-21237,Home,Active
CUST-11264,Michael,Parker,LN-20891,Home,Active
CUST-11335,Jeffrey,Sanders,LN-20514,Home,Active
CUST-11397,Leah,Joseph,LN-20284,Home,Active
CUST-11470,Mary,Hayes,LN-20622,Home,Active
CUST-11093,Brenda,Clarke,LN-20589,Home,Active
CUST-11098,Eduardo,Shelton,LN-20435,Home,Active
CUST-11172,Mark,Trevino,LN-20229,Home,Active
CUST-11258,Angela,Miller,LN-20992,Home,Active
CUST-11295,Adam,Flowers,LN-20158,Home,Active
CUST-11336,Tracey,Lewis,LN-21205,Home,Active
CUST-11348,Kayla,Sherman,LN-21422,Home,Active
CUST-11048,Jessica,Combs,LN-21467,Home,Active
CUST-11375,Tracy,Barnett,LN-20833,Home,Active
CUST-11400,Stacey,Oconnor,LN-20173,Home,Active
CUST-11487,Justin,Pitts,LN-20312,Home,Active
CUST-11146,Katelyn,Caldwell,LN-20000,Home,Active
CUST-11283,Thomas,Ramirez,LN-21268,Home,Active
CUST-11291,Tina,Spencer,LN-20189,Home,Active
CUST-11389,Matthew,Martinez,LN-20385,Home,Active
CUST-11488,Sara,Garcia,LN-20808,Home,Active
CUST-11031,Karen,Wagner,LN-21365,Home,Active
CUST-11068,Eric,Daniels,LN-20238,Home,Active
CUST-11125,Jennifer,Cook,LN-21325,Home,Active
CUST-11145,Wendy,Lopez,LN-21244,Home,Active
