customer_id,first_name,last_name,merchant_name,loan_type,loan_status,principal_amount,credit_score,channel,transaction_type,credit_score_flag,principal_bucket,upi_inclined_flag
CUST-11295,Adam,Flowers,Davis PLC,Home,Active,5000000,826,NetBanking,Credit,Good,medium bucket,Non UPI Inclined
CUST-10964,Andrea,Terry,Smith-Gilbert,Home,Active,100000,685,POS,Debit,Average,low bucket,Non UPI Inclined
CUST-10964,Andrea,Terry,Stephens-Ramsey,Home,Active,100000,685,NetBanking,Credit,Average,low bucket,Non UPI Inclined
CUST-10225,Betty,Martin,,Home,Active,100000,313,,,Risky,low bucket,Non UPI Inclined
CUST-10483,Barry,Hubbard,,Home,Active,1500000,552,,,Risky,medium bucket,Non UPI Inclined
CUST-11280,Ralph,Salazar,"Olsen, Sanford and Rice",Home,Active,5000000,591,UPI,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10005,Joseph,Gallagher,,Home,Active,1500000,377,,,Risky,medium bucket,Non UPI Inclined
CUST-10263,Lori,Hall,,Home,Active,500000,429,,,Risky,low bucket,Non UPI Inclined
CUST-10313,Joshua,Wagner,Clark-Coleman,Home,Active,100000,633,NetBanking,Credit,Risky,low bucket,Non UPI Inclined
CUST-11184,Kara,Ferguson,"Spears, White and Mendoza",Home,Active,1500000,488,NetBanking,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10033,Jennifer,Young,,Home,Active,500000,804,,,Good,low bucket,Non UPI Inclined
CUST-11356,Tiffany,Campbell,Flores-Cook,Home,Active,5000000,598,POS,Debit,Risky,medium bucket,Non UPI Inclined
CUST-11356,Tiffany,Campbell,Abbott-Leon,Home,Active,5000000,598,UPI,Credit,Risky,medium bucket,Non UPI Inclined
CUST-11356,Tiffany,Campbell,Dalton-Garcia,Home,Active,5000000,598,NetBanking,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10936,Lisa,Barnes,Curtis-Sanchez,Home,Active,1500000,784,UPI,Debit,Good,medium bucket,Non UPI Inclined
CUST-10908,Tanya,Spencer,"Taylor, Mccarthy and Ray",Home,Active,5000000,423,UPI,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10908,Tanya,Spencer,Williamson PLC,Home,Active,5000000,423,ATM,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10908,Tanya,Spencer,Gardner PLC,Home,Active,5000000,423,NetBanking,Credit,Risky,medium bucket,Non UPI Inclined
CUST-11204,Timothy,Williams,"Harrell, Grimes and Armstrong",Home,Active,500000,523,NetBanking,Credit,Risky,low bucket,Non UPI Inclined
CUST-11412,William,King,Figueroa Ltd,Home,Active,500000,754,POS,Debit,Good,low bucket,Non UPI Inclined
CUST-11412,William,King,Salinas-Gardner,Home,Active,500000,754,POS,Debit,Good,low bucket,Non UPI Inclined
CUST-10374,Johnathan,Briggs,,Home,Active,100000,313,,,Risky,low bucket,Non UPI Inclined
CUST-11407,Timothy,Davis,,Home,Active,500000,327,,,Risky,low bucket,Non UPI Inclined
CUST-11254,John,Byrd,"Martin, Swanson and Pollard",Home,Active,500000,508,UPI,Debit,Risky,low bucket,Non UPI Inclined
CUST-11254,John,Byrd,Chandler-Robinson,Home,Active,500000,508,NetBanking,Credit,Risky,low bucket,Non UPI Inclined
CUST-11254,John,Byrd,Diaz PLC,Home,Active,500000,508,POS,Credit,Risky,low bucket,Non UPI Inclined
CUST-11291,Tina,Spencer,"Mcintosh, Bridges and Robinson",Home,Active,500000,351,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-10260,Kelsey,Johnson,Phillips-Baker,Home,Active,5000000,408,UPI,Credit,Risky,medium bucket,Non UPI Inclined
CUST-11098,Eduardo,Shelton,Collins-Crawford,Home,Active,1500000,621,UPI,Debit,Risky,medium bucket,Non UPI Inclined
CUST-11098,Eduardo,Shelton,Johnson Ltd,Home,Active,1500000,621,NetBanking,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10654,Jake,Martin,Charles-Le,Home,Active,1500000,422,ATM,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10795,Heidi,Sparks,,Home,Active,1500000,679,,,Average,medium bucket,Non UPI Inclined
CUST-10930,Stephanie,Boyd,Weber and Sons,Home,Active,500000,694,POS,Credit,Average,low bucket,Non UPI Inclined
CUST-11060,Chad,Weeks,"Bennett, Hall and Jones",Home,Active,100000,479,UPI,Credit,Risky,low bucket,Non UPI Inclined
CUST-11397,Leah,Joseph,Gross-Washington,Home,Active,500000,716,POS,Debit,Average,low bucket,Non UPI Inclined
CUST-11397,Leah,Joseph,Paul-Spence,Home,Active,500000,716,POS,Debit,Average,low bucket,Non UPI Inclined
CUST-10900,Rhonda,Ibarra,"Rodriguez, Moore and Cox",Home,Active,500000,785,POS,Debit,Good,low bucket,Non UPI Inclined
CUST-10900,Rhonda,Ibarra,"Cooper, Sullivan and Morrison",Home,Active,500000,785,ATM,Debit,Good,low bucket,Non UPI Inclined
CUST-10848,Susan,Shelton,Williams-Harrington,Home,Active,5000000,541,UPI,Credit,Risky,medium bucket,Non UPI Inclined
CUST-10872,Erin,Stout,Brewer Inc,Home,Active,5000000,367,UPI,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10636,Laura,Andrews,"Peterson, Johnson and Allen",Home,Active,500000,378,NetBanking,Credit,Risky,low bucket,Non UPI Inclined
CUST-11389,Matthew,Martinez,"Solis, Wilson and White",Home,Active,5000000,744,NetBanking,Credit,Average,medium bucket,Non UPI Inclined
CUST-10269,Laura,Leach,Wolfe-Jackson,Home,Active,1500000,683,NetBanking,Credit,Average,medium bucket,Non UPI Inclined
CUST-10092,Joshua,Anderson,"Ball, Atkinson and Stevenson",Home,Active,1500000,723,NetBanking,Debit,Average,medium bucket,Non UPI Inclined
CUST-10905,Melissa,Gonzalez,"Hernandez, Ray and Gray",Home,Active,500000,789,UPI,Debit,Good,low bucket,Non UPI Inclined
CUST-10273,Ryan,Wilkins,Pineda PLC,Home,Active,500000,641,ATM,Credit,Risky,low bucket,Non UPI Inclined
CUST-10273,Ryan,Wilkins,Hernandez-Rice,Home,Active,500000,641,NetBanking,Debit,Risky,low bucket,Non UPI Inclined
CUST-10273,Ryan,Wilkins,"Murillo, Edwards and Brady",Home,Active,500000,641,UPI,Debit,Risky,low bucket,Non UPI Inclined
CUST-10962,James,Russell,Foley-Marquez,Home,Active,100000,594,POS,Credit,Risky,low bucket,Non UPI Inclined
CUST-10263,Lori,Hall,,Home,Active,1500000,429,,,Risky,medium bucket,Non UPI Inclined
CUST-11400,Stacey,Oconnor,"Small, Campbell and Robinson",Home,Active,100000,486,NetBanking,Credit,Risky,low bucket,Non UPI Inclined
CUST-10427,Jessica,Rice,Davis Group,Home,Active,100000,496,NetBanking,Debit,Risky,low bucket,Non UPI Inclined
CUST-10427,Jessica,Rice,"Williams, Rosales and Hudson",Home,Active,100000,496,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-10427,Jessica,Rice,"Swanson, Smith and Blake",Home,Active,100000,496,NetBanking,Credit,Risky,low bucket,Non UPI Inclined
CUST-10387,Mary,Johnson,,Home,Active,5000000,578,,,Risky,medium bucket,Non UPI Inclined
CUST-10414,Travis,Pearson,Green and Sons,Home,Active,5000000,780,UPI,Credit,Good,medium bucket,Non UPI Inclined
CUST-10414,Travis,Pearson,"King, Wilson and Hunter",Home,Active,5000000,780,POS,Debit,Good,medium bucket,Non UPI Inclined
CUST-10414,Travis,Pearson,Conley and Sons,Home,Active,5000000,780,POS,Debit,Good,medium bucket,Non UPI Inclined
CUST-10414,Travis,Pearson,Spencer-Vargas,Home,Active,5000000,780,NetBanking,Credit,Good,medium bucket,Non UPI Inclined
CUST-10926,Daniel,Smith,Randolph LLC,Home,Active,5000000,849,NetBanking,Credit,Good,medium bucket,Non UPI Inclined
CUST-10156,Cynthia,Douglas,,Home,Active,5000000,590,,,Risky,medium bucket,Non UPI Inclined
CUST-10200,Lindsey,Jones,,Home,Active,500000,583,,,Risky,low bucket,Non UPI Inclined
CUST-10449,Jennifer,Torres,,Home,Active,100000,451,,,Risky,low bucket,Non UPI Inclined
CUST-10755,Nicole,Mcneil,,Home,Active,500000,346,,,Risky,low bucket,Non UPI Inclined
CUST-10956,Debra,Jordan,,Home,Active,500000,838,,,Good,low bucket,Non UPI Inclined
CUST-10132,Victoria,Lara,,Home,Active,100000,684,,,Average,low bucket,Non UPI Inclined
CUST-11065,Zachary,Contreras,,Home,Active,500000,767,,,Good,low bucket,Non UPI Inclined
CUST-10792,Jessica,Webster,"Brown, David and Holland",Home,Active,100000,429,UPI,Debit,Risky,low bucket,Non UPI Inclined
CUST-10792,Jessica,Webster,Kline Group,Home,Active,100000,429,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-11487,Justin,Pitts,,Home,Active,1500000,777,,,Good,medium bucket,Non UPI Inclined
CUST-11425,Lisa,Harrison,,Home,Active,500000,461,,,Risky,low bucket,Non UPI Inclined
CUST-11373,Chelsea,Rodriguez,,Home,Active,100000,469,,,Risky,low bucket,Non UPI Inclined
CUST-10538,Joshua,Jefferson,Johnson-West,Home,Active,1500000,512,ATM,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10538,Joshua,Jefferson,"Summers, Barrett and Hicks",Home,Active,1500000,512,POS,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10538,Joshua,Jefferson,Edwards Group,Home,Active,1500000,512,NetBanking,Debit,Risky,medium bucket,Non UPI Inclined
CUST-11172,Mark,Trevino,"Johnston, Hill and Coleman",Home,Active,5000000,410,ATM,Credit,Risky,medium bucket,Non UPI Inclined
CUST-11068,Eric,Daniels,Morgan and Sons,Home,Active,500000,529,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-10797,Megan,Gilbert,,Home,Active,100000,427,,,Risky,low bucket,Non UPI Inclined
CUST-10805,David,Scott,Palmer and Sons,Home,Active,500000,703,ATM,Debit,Average,low bucket,Non UPI Inclined
CUST-10805,David,Scott,Sherman Group,Home,Active,500000,703,UPI,Debit,Average,low bucket,Non UPI Inclined
CUST-10333,John,Bryan,Anthony-Calderon,Home,Active,100000,695,UPI,Debit,Average,low bucket,Non UPI Inclined
CUST-10333,John,Bryan,"Carter, Jensen and Graves",Home,Active,100000,695,NetBanking,Credit,Average,low bucket,Non UPI Inclined
CUST-10333,John,Bryan,Jackson Inc,Home,Active,100000,695,POS,Debit,Average,low bucket,Non UPI Inclined
CUST-10418,Joseph,Owens,,Home,Active,100000,534,,,Risky,low bucket,Non UPI Inclined
CUST-11297,Amanda,Rivera,Cole Group,Home,Active,5000000,434,UPI,Debit,Risky,medium bucket,Non UPI Inclined
CUST-11297,Amanda,Rivera,"Ingram, Reynolds and Griffith",Home,Active,5000000,434,POS,Credit,Risky,medium bucket,Non UPI Inclined
CUST-10729,Rebecca,Brown,"Hoffman, Glenn and Moore",Home,Active,100000,744,NetBanking,Debit,Average,low bucket,Non UPI Inclined
CUST-10563,Cameron,White,Brown-Ortiz,Home,Active,1500000,688,POS,Debit,Average,medium bucket,Non UPI Inclined
CUST-11111,Rebecca,Bates,Taylor-Cook,Home,Active,5000000,438,POS,Debit,Risky,medium bucket,Non UPI Inclined
CUST-11272,Samuel,Beasley,Webb-Smith,Home,Active,5000000,745,ATM,Debit,Average,medium bucket,Non UPI Inclined
CUST-11272,Samuel,Beasley,"Villarreal, Pratt and Huffman",Home,Active,5000000,745,ATM,Debit,Average,medium bucket,Non UPI Inclined
CUST-10837,Adrian,Robinson,,Home,Active,5000000,614,,,Risky,medium bucket,Non UPI Inclined
CUST-11106,Bobby,Gonzalez,Jones-Miller,Home,Active,500000,385,ATM,Credit,Risky,low bucket,Non UPI Inclined
CUST-10174,Amanda,Anderson,,Home,Active,100000,326,,,Risky,low bucket,Non UPI Inclined
CUST-11221,Robin,Hampton,,Home,Active,5000000,647,,,Risky,medium bucket,Non UPI Inclined
CUST-11048,Jessica,Combs,Donaldson Group,Home,Active,500000,330,UPI,Debit,Risky,low bucket,Non UPI Inclined
CUST-10538,Joshua,Jefferson,Johnson-West,Home,Active,1500000,512,ATM,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10538,Joshua,Jefferson,"Summers, Barrett and Hicks",Home,Active,1500000,512,POS,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10538,Joshua,Jefferson,Edwards Group,Home,Active,1500000,512,NetBanking,Debit,Risky,medium bucket,Non UPI Inclined
CUST-11370,Timothy,Noble,,Home,Active,500000,594,,,Risky,low bucket,Non UPI Inclined
CUST-10438,Omar,Douglas,,Home,Active,500000,560,,,Risky,low bucket,Non UPI Inclined
CUST-10256,Amy,Murphy,Mcdonald LLC,Home,Active,5000000,458,UPI,Credit,Risky,medium bucket,Non UPI Inclined
CUST-10256,Amy,Murphy,Faulkner-Sanchez,Home,Active,5000000,458,POS,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10663,Jeffrey,Morris,Young Ltd,Home,Active,1500000,728,POS,Credit,Average,medium bucket,Non UPI Inclined
CUST-10663,Jeffrey,Morris,Stephens Ltd,Home,Active,1500000,728,NetBanking,Debit,Average,medium bucket,Non UPI Inclined
CUST-10360,Sara,Macdonald,"Lane, Smith and Brown",Home,Active,500000,455,ATM,Credit,Risky,low bucket,Non UPI Inclined
CUST-10735,Emily,Hess,"Perkins, Delgado and Herman",Home,Active,5000000,633,NetBanking,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10748,Maurice,Hardy,Frost PLC,Home,Active,100000,437,ATM,Debit,Risky,low bucket,Non UPI Inclined
CUST-10113,Tammy,Duke,,Home,Active,500000,364,,,Risky,low bucket,Non UPI Inclined
CUST-11125,Jennifer,Cook,"Cruz, Smith and Ryan",Home,Active,5000000,803,UPI,Debit,Good,medium bucket,Non UPI Inclined
CUST-10424,Jacqueline,Moran,,Home,Active,5000000,381,,,Risky,medium bucket,Non UPI Inclined
CUST-10898,Henry,Sanders,,Home,Active,500000,726,,,Average,low bucket,Non UPI Inclined
CUST-11127,Robert,Carlson,"Haney, Simmons and Wood",Home,Active,100000,496,ATM,Credit,Risky,low bucket,Non UPI Inclined
CUST-10724,Tammy,Thomas,Dillon Ltd,Home,Active,5000000,515,ATM,Credit,Risky,medium bucket,Non UPI Inclined
CUST-10700,Aaron,Hill,Miles-Sanchez,Home,Active,500000,443,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-10008,Megan,Singh,"Miller, Gilbert and Olson",Home,Active,1500000,374,POS,Debit,Risky,medium bucket,Non UPI Inclined
CUST-11264,Michael,Parker,,Home,Active,500000,848,,,Good,low bucket,Non UPI Inclined
CUST-10934,Jason,Lopez,Morris-Wang,Home,Active,500000,696,POS,Credit,Average,low bucket,Non UPI Inclined
CUST-10934,Jason,Lopez,Sandoval-Baker,Home,Active,500000,696,POS,Debit,Average,low bucket,Non UPI Inclined
CUST-10775,Brooke,Young,"Lopez, Ramirez and Douglas",Home,Active,5000000,607,ATM,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10775,Brooke,Young,Jones-Hodges,Home,Active,5000000,607,NetBanking,Credit,Risky,medium bucket,Non UPI Inclined
CUST-10537,Brenda,Patterson,Chen and Sons,Home,Active,500000,834,UPI,Credit,Good,low bucket,Non UPI Inclined
CUST-10537,Brenda,Patterson,Morgan and Sons,Home,Active,500000,834,UPI,Debit,Good,low bucket,Non UPI Inclined
CUST-10148,Amanda,Robinson,Thornton Ltd,Home,Active,1500000,829,UPI,Credit,Good,medium bucket,Non UPI Inclined
CUST-10148,Amanda,Robinson,King-Ellison,Home,Active,1500000,829,ATM,Credit,Good,medium bucket,Non UPI Inclined
CUST-11314,Alexandra,Chavez,,Home,Active,100000,404,,,Risky,low bucket,Non UPI Inclined
CUST-10237,Melissa,Morgan,Valdez PLC,Home,Active,1500000,482,ATM,Credit,Risky,medium bucket,Non UPI Inclined
CUST-10617,James,Moore,Williams-Murphy,Home,Active,5000000,762,UPI,Credit,Good,medium bucket,Non UPI Inclined
CUST-10617,James,Moore,Newton PLC,Home,Active,5000000,762,POS,Debit,Good,medium bucket,Non UPI Inclined
CUST-10400,Johnathan,Schmidt,"Johnson, Wilson and Evans",Home,Active,1500000,417,NetBanking,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10400,Johnathan,Schmidt,Davidson Ltd,Home,Active,1500000,417,NetBanking,Debit,Risky,medium bucket,Non UPI Inclined
CUST-11375,Tracy,Barnett,"Perez, Matthews and Horton",Home,Active,1500000,777,ATM,Debit,Good,medium bucket,Non UPI Inclined
CUST-11392,Samantha,Wilson,,Home,Active,1500000,732,,,Average,medium bucket,Non UPI Inclined
CUST-11335,Jeffrey,Sanders,Reeves-Brown,Home,Active,1500000,844,UPI,Credit,Good,medium bucket,Non UPI Inclined
CUST-10298,Jennifer,Roach,"Nguyen, Huff and Smith",Home,Active,5000000,674,POS,Debit,Average,medium bucket,Non UPI Inclined
CUST-10923,Christopher,Martin,Pearson Inc,Home,Active,500000,423,UPI,Debit,Risky,low bucket,Non UPI Inclined
CUST-11148,Dawn,Bradley,Mitchell-Glass,Home,Active,5000000,754,POS,Debit,Good,medium bucket,Non UPI Inclined
CUST-11478,Selena,Schmitt,Mclaughlin-Davis,Home,Active,500000,463,POS,Credit,Risky,low bucket,Non UPI Inclined
CUST-11241,Robert,Meyers,,Home,Active,1500000,846,,,Good,medium bucket,Non UPI Inclined
CUST-10810,Sonia,Miller,Stevens Inc,Home,Active,100000,422,ATM,Credit,Risky,low bucket,Non UPI Inclined
CUST-10810,Sonia,Miller,Walker PLC,Home,Active,100000,422,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-10252,Lawrence,Delacruz,Moore Inc,Home,Active,5000000,725,NetBanking,Debit,Average,medium bucket,Non UPI Inclined
CUST-10252,Lawrence,Delacruz,"Baker, Turner and Clark",Home,Active,5000000,725,ATM,Debit,Average,medium bucket,Non UPI Inclined
CUST-10252,Lawrence,Delacruz,Thompson-Brooks,Home,Active,5000000,725,NetBanking,Credit,Average,medium bucket,Non UPI Inclined
CUST-11194,Dawn,King,Good Group,Home,Active,100000,475,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-11194,Dawn,King,Adams-Solis,Home,Active,100000,475,ATM,Debit,Risky,low bucket,Non UPI Inclined
CUST-11093,Brenda,Clarke,,Home,Active,500000,341,,,Risky,low bucket,Non UPI Inclined
CUST-10802,Stephen,Calderon,Scott-Vaughan,Home,Active,100000,595,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-10802,Stephen,Calderon,Fernandez-Robinson,Home,Active,100000,595,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-10228,Richard,Harrington,,Home,Active,5000000,778,,,Good,medium bucket,Non UPI Inclined
CUST-11188,John,Dawson,Tran-Bruce,Home,Active,100000,300,NetBanking,Credit,Risky,low bucket,Non UPI Inclined
CUST-10261,Mark,Gibbs,,Home,Active,100000,569,,,Risky,low bucket,Non UPI Inclined
CUST-10829,Caitlin,Smith,"Mitchell, Parker and Rodriguez",Home,Active,100000,446,NetBanking,Debit,Risky,low bucket,Non UPI Inclined
CUST-10829,Caitlin,Smith,Sullivan LLC,Home,Active,100000,446,POS,Credit,Risky,low bucket,Non UPI Inclined
CUST-11302,Frank,Gilbert,,Home,Active,500000,816,,,Good,low bucket,Non UPI Inclined
CUST-11450,Keith,Roberts,,Home,Active,500000,823,,,Good,low bucket,Non UPI Inclined
CUST-11107,Faith,Gutierrez,,Home,Active,500000,706,,,Average,low bucket,Non UPI Inclined
CUST-10991,James,Molina,,Home,Active,1500000,668,,,Average,medium bucket,Non UPI Inclined
CUST-11204,Timothy,Williams,"Harrell, Grimes and Armstrong",Home,Active,5000000,523,NetBanking,Credit,Risky,medium bucket,Non UPI Inclined
CUST-10062,Allen,Arroyo,"Fletcher, Ochoa and Nash",Home,Active,100000,429,NetBanking,Debit,Risky,low bucket,Non UPI Inclined
CUST-10204,Christopher,Cantrell,"Ford, Solis and Booth",Home,Active,100000,461,NetBanking,Credit,Risky,low bucket,Non UPI Inclined
CUST-11470,Mary,Hayes,Foley LLC,Home,Active,500000,664,UPI,Debit,Average,low bucket,Non UPI Inclined
CUST-11470,Mary,Hayes,Ellis-Huffman,Home,Active,500000,664,ATM,Credit,Average,low bucket,Non UPI Inclined
CUST-11470,Mary,Hayes,"Smith, Patel and Henderson",Home,Active,500000,664,ATM,Credit,Average,low bucket,Non UPI Inclined
CUST-10837,Adrian,Robinson,,Home,Active,1500000,614,,,Risky,medium bucket,Non UPI Inclined
CUST-11180,Joshua,Sims,Lee PLC,Home,Active,100000,680,ATM,Credit,Average,low bucket,Non UPI Inclined
CUST-11180,Joshua,Sims,Taylor Group,Home,Active,100000,680,ATM,Debit,Average,low bucket,Non UPI Inclined
CUST-10142,Michael,Montes,Carney-Carter,Home,Active,500000,641,NetBanking,Credit,Risky,low bucket,Non UPI Inclined
CUST-11087,Wanda,Morgan,,Home,Active,1500000,710,,,Average,medium bucket,Non UPI Inclined
CUST-10622,Marc,Morales,,Home,Active,5000000,554,,,Risky,medium bucket,Non UPI Inclined
CUST-11093,Brenda,Clarke,,Home,Active,1500000,341,,,Risky,medium bucket,Non UPI Inclined
CUST-11216,Richard,Simmons,Holland Ltd,Home,Active,5000000,650,UPI,Debit,Unknown,medium bucket,Non UPI Inclined
CUST-11213,Edwin,Martinez,Wilson Group,Home,Active,100000,406,POS,Credit,Risky,low bucket,Non UPI Inclined
CUST-10731,Karen,Moreno,,Home,Active,500000,628,,,Risky,low bucket,Non UPI Inclined
CUST-11322,Renee,Ferguson,Gibson and Sons,Home,Active,100000,454,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-11322,Renee,Ferguson,"Boone, Mullen and Holloway",Home,Active,100000,454,UPI,Credit,Risky,low bucket,Non UPI Inclined
CUST-11322,Renee,Ferguson,Flores PLC,Home,Active,100000,454,ATM,Debit,Risky,low bucket,Non UPI Inclined
CUST-10819,Rebecca,Day,,Home,Active,100000,304,,,Risky,low bucket,Non UPI Inclined
CUST-11047,Nicole,Russell,Arnold Group,Home,Active,100000,605,ATM,Debit,Risky,low bucket,Non UPI Inclined
CUST-10954,Linda,Davis,,Home,Active,1500000,349,,,Risky,medium bucket,Non UPI Inclined
CUST-10259,Eric,Donaldson,Potter-Little,Home,Active,500000,478,NetBanking,Credit,Risky,low bucket,Non UPI Inclined
CUST-10259,Eric,Donaldson,Lewis PLC,Home,Active,500000,478,NetBanking,Debit,Risky,low bucket,Non UPI Inclined
CUST-10259,Eric,Donaldson,Burns-Fisher,Home,Active,500000,478,ATM,Credit,Risky,low bucket,Non UPI Inclined
CUST-10259,Eric,Donaldson,Payne-Williams,Home,Active,500000,478,ATM,Credit,Risky,low bucket,Non UPI Inclined
CUST-11488,Sara,Garcia,,Home,Active,500000,781,,,Good,low bucket,Non UPI Inclined
CUST-10199,Marcus,Smith,"Bush, Crawford and Frazier",Home,Active,5000000,734,UPI,Debit,Average,medium bucket,Non UPI Inclined
CUST-10199,Marcus,Smith,"Nielsen, Morgan and Oliver",Home,Active,5000000,734,UPI,Debit,Average,medium bucket,Non UPI Inclined
CUST-10199,Marcus,Smith,"Jenkins, Jones and Jones",Home,Active,5000000,734,UPI,Debit,Average,medium bucket,Non UPI Inclined
CUST-10839,Stephanie,Roman,,Home,Active,500000,847,,,Good,low bucket,Non UPI Inclined
CUST-10320,Amy,Herman,Larson-Harris,Home,Active,1500000,393,ATM,Debit,Risky,medium bucket,Non UPI Inclined
CUST-10708,Kelsey,Pham,,Home,Active,100000,357,,,Risky,low bucket,Non UPI Inclined
CUST-10287,Frank,Jordan,Johnson-Harris,Home,Active,500000,422,NetBanking,Debit,Risky,low bucket,Non UPI Inclined
CUST-10287,Frank,Jordan,"Wells, Mcmahon and Peterson",Home,Active,500000,422,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-10580,Kristy,Golden,"Robinson, Bailey and Long",Home,Active,500000,653,ATM,Debit,Average,low bucket,Non UPI Inclined
CUST-10580,Kristy,Golden,Martin-Hall,Home,Active,500000,653,POS,Debit,Average,low bucket,Non UPI Inclined
CUST-10580,Kristy,Golden,Bond-Baker,Home,Active,500000,653,ATM,Debit,Average,low bucket,Non UPI Inclined
CUST-10580,Kristy,Golden,Johnson Ltd,Home,Active,500000,653,POS,Debit,Average,low bucket,Non UPI Inclined
CUST-10222,Jeffrey,Owens,Hernandez Group,Home,Active,100000,412,POS,Debit,Risky,low bucket,Non UPI Inclined
CUST-10222,Jeffrey,Owens,Fitzgerald-Parsons,Home,Active,100000,412,NetBanking,Credit,Risky,low bucket,Non UPI Inclined
CUST-10383,Derek,Lucas,,Home,Active,100000,479,,,Risky,low bucket,Non UPI Inclined
CUST-10543,Ricky,Santiago,"Oconnor, Wright and Phillips",Home,Active,500000,393,ATM,Credit,Risky,low bucket,Non UPI Inclined
CUST-10543,Ricky,Santiago,Pratt-Lee,Home,Active,500000,393,NetBanking,Debit,Risky,low bucket,Non UPI Inclined
CUST-10383,Derek,Lucas,,Home,Active,1500000,479,,,Risky,medium bucket,Non UPI Inclined
CUST-10944,Patricia,Jones,,Home,Active,5000000,484,,,Risky,medium bucket,Non UPI Inclined
CUST-10370,Alan,Adams,"Nguyen, Jackson and Berry",Home,Active,500000,731,POS,Debit,Average,low bucket,Non UPI Inclined
CUST-11434,Toni,Graves,,Home,Active,1500000,462,,,Risky,medium bucket,Non UPI Inclined
CUST-11350,Chase,Brooks,Ross-Lopez,Home,Active,100000,836,NetBanking,Debit,Good,low bucket,Non UPI Inclined
CUST-10897,Bethany,Barnes,,Home,Active,1500000,480,,,Risky,medium bucket,Non UPI Inclined
