customer_id,first_name,last_name,loan_type,loan_status,remaining_balance
CUST-10605,Catherine,Rodriguez,Home,Active,3000000
CUST-10731,Karen,Moreno,Home,Active,300000
CUST-10900,Rhonda,Ibarra,Home,Active,300000
CUST-10926,Daniel,Smith,Home,Active,3000000
CUST-10748,Maurice,Hardy,Home,Active,60000
CUST-10829,Caitlin,Smith,Home,Active,60000
CUST-10991,James,Molina,Home,Active,900000
CUST-10589,Brittany,Gonzalez,Home,Active,900000
CUST-10663,Jeffrey,Morris,Home,Active,900000
CUST-10819,Rebecca,Day,Home,Active,60000
CUST-10848,Susan,Shelton,Home,Active,3000000
CUST-10905,Melissa,Gonzalez,Home,Active,300000
CUST-10580,Kristy,Golden,Home,Active,300000
CUST-10619,Michael,Dean,Home,Active,900000
CUST-10729,Rebecca,Brown,Home,Active,60000
CUST-10802,Stephen,Calderon,Home,Active,60000
CUST-10832,Bryan,Jimenez,Home,Active,900000
CUST-10898,Henry,Sanders,Home,Active,300000
CUST-10964,Andrea,Terry,Home,Active,60000
CUST-10969,Geoffrey,Stone,Home,Active,3000000
CUST-10668,Justin,Newman,Home,Active,300000
CUST-10797,Megan,Gilbert,Home,Active,60000
CUST-10936,Lisa,Barnes,Home,Active,900000
CUST-10944,Patricia,Jones,Home,Active,3000000
CUST-11026,Daniel,Santana,Home,Active,300000
CUST-11047,Nicole,Russell,Home,Active,60000
CUST-11152,Omar,Evans,Home,Active,300000
CUST-11314,Alexandra,Chavez,Home,Active,60000
CUST-11394,Christina,Graham,Home,Active,60000
CUST-11409,Natalie,Harris,Home,Active,900000
CUST-11425,Lisa,Harrison,Home,Active,300000
CUST-11106,Bobby,Gonzalez,Home,Active,300000
CUST-11151,Marissa,Patterson,Home,Active,3000000
CUST-11180,Joshua,Sims,Home,Active,60000
CUST-11499,David,Williams,Home,Active,3000000
CUST-11216,Richard,Simmons,Home,Active,3000000
CUST-11407,Timothy,Davis,Home,Active,300000
CUST-11107,Faith,Gutierrez,Home,Active,300000
CUST-11232,Brian,Rowe,Home,Active,900000
CUST-11325,Luis,Fischer,Home,Active,300000
CUST-11434,Toni,Graves,Home,Active,900000
CUST-11445,Glen,Schultz,Home,Active,3000000
CUST-11280,Ralph,Salazar,Home,Active,3000000
CUST-11343,Melvin,Pace,Home,Active,300000
CUST-11388,Andrea,Perez,Home,Active,60000
CUST-11478,Selena,Schmitt,Home,Active,300000
CUST-11087,Wanda,Morgan,Home,Active,900000
CUST-11111,Rebecca,Bates,Home,Active,3000000
CUST-11115,Juan,Morgan,Home,Active,60000
CUST-11170,Kyle,Hutchinson,Home,Active,900000
CUST-11184,Kara,Ferguson,Home,Active,900000
CUST-11194,Dawn,King,Home,Active,60000
CUST-11297,Amanda,Rivera,Home,Active,3000000
CUST-11429,Kristin,Davis,Home,Active,900000
CUST-11060,Chad,Weeks,Home,Active,60000
CUST-11102,Connie,Bailey,Home,Active,300000
CUST-11272,Samuel,Beasley,Home,Active,3000000
CUST-11300,Rebecca,Taylor,Home,Active,60000
CUST-11370,Timothy,Noble,Home,Active,300000
CUST-11382,Teresa,Gutierrez,Home,Active,60000
CUST-11392,Samantha,Wilson,Home,Active,900000
CUST-11127,Robert,Carlson,Home,Active,60000
CUST-11241,Robert,Meyers,Home,Active,900000
CUST-11356,Tiffany,Campbell,Home,Active,3000000
CUST-11417,Johnathan,Thomas,Home,Active,3000000
CUST-11450,Keith,Roberts,Home,Active,300000
CUST-11459,Melissa,Garcia,Home,Active,3000000
CUST-11148,Dawn,Bradley,Home,Active,3000000
CUST-11213,Edwin,Martinez,Home,Active,60000
CUST-11214,John,Edwards,Home,Active,900000
CUST-11226,Mark,Kirby,Home,Active,900000
CUST-11302,Frank,Gilbert,Home,Active,300000
CUST-11373,Chelsea,Rodriguez,Home,Active,60000
CUST-11061,Monique,Vasquez,Home,Active,60000
CUST-11196,April,Taylor,Home,Active,300000
CUST-11285,Kyle,Reed,Home,Active,300000
CUST-11306,Tiffany,Williams,Home,Active,300000
CUST-11322,Renee,Ferguson,Home,Active,60000
CUST-11350,Chase,Brooks,Home,Active,60000
CUST-11412,William,King,Home,Active,300000
CUST-11025,Larry,Lewis,Home,Active,3000000
CUST-11043,Jose,Wilson,Home,Active,60000
CUST-11188,John,Dawson,Home,Active,60000
CUST-11204,Timothy,Williams,Home,Active,300000
CUST-11254,John,Byrd,Home,Active,300000
CUST-11352,Amy,Whitehead,Home,Active,900000
CUST-11065,Zachary,Contreras,Home,Active,300000
CUST-11221,Robin,Hampton,Home,Active,3000000
CUST-11264,Michael,Parker,Home,Active,300000
CUST-11335,Jeffrey,Sanders,Home,Active,900000
CUST-11397,Leah,Joseph,Home,Active,300000
CUST-11470,Mary,Hayes,Home,Active,300000
CUST-11093,Brenda,Clarke,Home,Active,300000
CUST-11098,Eduardo,Shelton,Home,Active,900000
CUST-11172,Mark,Trevino,Home,Active,3000000
CUST-11258,Angela,Miller,Home,Active,300000
CUST-11295,Adam,Flowers,Home,Active,3000000
CUST-11336,Tracey,Lewis,Home,Active,300000
CUST-11348,Kayla,Sherman,Home,Active,60000
CUST-11048,Jessica,Combs,Home,Active,300000
CUST-11375,Tracy,Barnett,Home,Active,900000
CUST-11400,Stacey,Oconnor,Home,Active,60000
CUST-11487,Justin,Pitts,Home,Active,900000
CUST-11146,Katelyn,Caldwell,Home,Active,60000
CUST-11283,Thomas,Ramirez,Home,Active,60000
CUST-11291,Tina,Spencer,Home,Active,300000
CUST-11389,Matthew,Martinez,Home,Active,3000000
CUST-11488,Sara,Garcia,Home,Active,300000
CUST-11031,Karen,Wagner,Home,Active,900000
CUST-11068,Eric,Daniels,Home,Active,300000
CUST-11125,Jennifer,Cook,Home,Active,3000000
CUST-11145,Wendy,Lopez,Home,Active,3000000
