customer_id,first_name,last_name,loan_type,loan_status
CUST-10142,Michael,Montes,Home,Active
CUST-10200,Lindsey,Jones,Home,Active
CUST-10398,James,Larson,Home,Active
CUST-10404,Adam,Carlson,Home,Active
CUST-10438,Omar,Douglas,Home,Active
CUST-10497,Nicole,Nichols,Home,Active
CUST-10062,Allen,Arroyo,Home,Active
CUST-10370,Alan,Adams,Home,Active
CUST-10525,Matthew,Wood,Home,Active
CUST-10575,Robert,Hughes,Home,Active
CUST-10724,Tammy,Thomas,Home,Active
CUST-10766,Timothy,Caldwell,Home,Active
CUST-10923,Christopher,Martin,Home,Active
CUST-10622,Marc,Morales,Home,Active
CUST-10631,April,Lee,Home,Active
CUST-10676,Joshua,Freeman,Home,Active
CUST-10930,Stephanie,Boyd,Home,Active
CUST-10537,Brenda,Patterson,Home,Active
CUST-10818,Brandi,Fitzgerald,Home,Active
CUST-10956,Debra,Jordan,Home,Active
CUST-10962,James,Russell,Home,Active
CUST-10538,Joshua,Jefferson,Home,Active
CUST-10636,Laura,Andrews,Home,Active
CUST-10700,Aaron,Hill,Home,Active
CUST-10757,Mary,Bennett,Home,Active
CUST-10775,Brooke,Young,Home,Active
CUST-10795,Heidi,Sparks,Home,Active
CUST-10810,Sonia,Miller,Home,Active
CUST-10543,Ricky,Santiago,Home,Active
CUST-10635,John,Campbell,Home,Active
CUST-10755,Nicole,Mcneil,Home,Active
CUST-10594,Susan,Poole,Home,Active
CUST-10600,Michelle,Hodges,Home,Active
CUST-10612,Alexander,Johnson,Home,Active
CUST-10654,Jake,Martin,Home,Active
CUST-10656,Bryan,Morrison,Home,Active
CUST-10708,Kelsey,Pham,Home,Active
CUST-10805,David,Scott,Home,Active
CUST-10861,Jessica,Simpson,Home,Active
CUST-10872,Erin,Stout,Home,Active
CUST-10792,Jessica,Webster,Home,Active
CUST-10908,Tanya,Spencer,Home,Active
CUST-10934,Jason,Lopez,Home,Active
CUST-10954,Linda,Davis,Home,Active
CUST-10897,Bethany,Barnes,Home,Active
CUST-10521,Kevin,Campbell,Home,Active
CUST-10531,Robin,Stone,Home,Active
CUST-10617,James,Moore,Home,Active
CUST-10660,Evelyn,Peterson,Home,Active
CUST-10680,Nicole,Klein,Home,Active
CUST-10735,Emily,Hess,Home,Active
CUST-10839,Stephanie,Roman,Home,Active
CUST-10859,Richard,Olson,Home,Active
CUST-10974,Barry,Ruiz,Home,Active
CUST-10670,Amy,Norman,Home,Active
CUST-10834,Brad,Friedman,Home,Active
CUST-10837,Adrian,Robinson,Home,Active
CUST-10563,Cameron,White,Home,Active
CUST-10592,Victor,Johnson,Home,Active
CUST-10605,Catherine,Rodriguez,Home,Active
CUST-10731,Karen,Moreno,Home,Active
CUST-10900,Rhonda,Ibarra,Home,Active
CUST-10926,Daniel,Smith,Home,Active
CUST-10748,Maurice,Hardy,Home,Active
CUST-10829,Caitlin,Smith,Home,Active
CUST-10991,James,Molina,Home,Active
CUST-10589,Brittany,Gonzalez,Home,Active
CUST-10663,Jeffrey,Morris,Home,Active
CUST-10819,Rebecca,Day,Home,Active
CUST-10848,Susan,Shelton,Home,Active
CUST-10905,Melissa,Gonzalez,Home,Active
CUST-10580,Kristy,Golden,Home,Active
CUST-10619,Michael,Dean,Home,Active
CUST-10729,Rebecca,Brown,Home,Active
CUST-10802,Stephen,Calderon,Home,Active
CUST-10832,Bryan,Jimenez,Home,Active
CUST-10898,Henry,Sanders,Home,Active
CUST-10964,Andrea,Terry,Home,Active
CUST-10969,Geoffrey,Stone,Home,Active
CUST-10668,Justin,Newman,Home,Active
CUST-10797,Megan,Gilbert,Home,Active
CUST-10936,Lisa,Barnes,Home,Active
CUST-10944,Patricia,Jones,Home,Active
CUST-11026,Daniel,Santana,Home,Active
CUST-11047,Nicole,Russell,Home,Active
CUST-11152,Omar,Evans,Home,Active
CUST-11314,Alexandra,Chavez,Home,Active
CUST-11394,Christina,Graham,Home,Active
CUST-11409,Natalie,Harris,Home,Active
CUST-11425,Lisa,Harrison,Home,Active
CUST-11106,Bobby,Gonzalez,Home,Active
CUST-11151,Marissa,Patterson,Home,Active
CUST-11180,Joshua,Sims,Home,Active
CUST-11499,David,Williams,Home,Active
CUST-11216,Richard,Simmons,Home,Active
CUST-11407,Timothy,Davis,Home,Active
CUST-11107,Faith,Gutierrez,Home,Active
CUST-11232,Brian,Rowe,Home,Active
CUST-11325,Luis,Fischer,Home,Active
CUST-11434,Toni,Graves,Home,Active
CUST-11445,Glen,Schultz,Home,Active
CUST-11280,Ralph,Salazar,Home,Active
CUST-11343,Melvin,Pace,Home,Active
CUST-11388,Andrea,Perez,Home,Active
CUST-11478,Selena,Schmitt,Home,Active
CUST-11087,Wanda,Morgan,Home,Active
CUST-11111,Rebecca,Bates,Home,Active
CUST-11115,Juan,Morgan,Home,Active
CUST-11170,Kyle,Hutchinson,Home,Active
CUST-11184,Kara,Ferguson,Home,Active
CUST-11194,Dawn,King,Home,Active
CUST-11297,Amanda,Rivera,Home,Active
CUST-11429,Kristin,Davis,Home,Active
CUST-11060,Chad,Weeks,Home,Active
CUST-11102,Connie,Bailey,Home,Active
CUST-11272,Samuel,Beasley,Home,Active
CUST-11300,Rebecca,Taylor,Home,Active
CUST-11370,Timothy,Noble,Home,Active
CUST-11382,Teresa,Gutierrez,Home,Active
CUST-11392,Samantha,Wilson,Home,Active
CUST-11127,Robert,Carlson,Home,Active
CUST-11241,Robert,Meyers,Home,Active
CUST-11356,Tiffany,Campbell,Home,Active
CUST-11417,Johnathan,Thomas,Home,Active
CUST-11450,Keith,Roberts,Home,Active
CUST-11459,Melissa,Garcia,Home,Active
CUST-11148,Dawn,Bradley,Home,Active
CUST-11213,Edwin,Martinez,Home,Active
CUST-11214,John,Edwards,Home,Active
CUST-11226,Mark,Kirby,Home,Active
CUST-11302,Frank,Gilbert,Home,Active
CUST-11373,Chelsea,Rodriguez,Home,Active
CUST-11061,Monique,Vasquez,Home,Active
CUST-11196,April,Taylor,Home,Active
CUST-11285,Kyle,Reed,Home,Active
CUST-11306,Tiffany,Williams,Home,Active
CUST-11322,Renee,Ferguson,Home,Active
CUST-11350,Chase,Brooks,Home,Active
CUST-11412,William,King,Home,Active
CUST-11025,Larry,Lewis,Home,Active
CUST-11043,Jose,Wilson,Home,Active
CUST-11188,John,Dawson,Home,Active
CUST-11204,Timothy,Williams,Home,Active
CUST-11254,John,Byrd,Home,Active
CUST-11352,Amy,Whitehead,Home,Active
CUST-11065,Zachary,Contreras,Home,Active
CUST-11221,Robin,Hampton,Home,Active
CUST-11264,Michael,Parker,Home,Active
CUST-11335,Jeffrey,Sanders,Home,Active
CUST-11397,Leah,Joseph,Home,Active
CUST-11470,Mary,Hayes,Home,Active
CUST-11093,Brenda,Clarke,Home,Active
CUST-11098,Eduardo,Shelton,Home,Active
CUST-11172,Mark,Trevino,Home,Active
CUST-11258,Angela,Miller,Home,Active
CUST-11295,Adam,Flowers,Home,Active
CUST-11336,Tracey,Lewis,Home,Active
CUST-11348,Kayla,Sherman,Home,Active
CUST-11048,Jessica,Combs,Home,Active
CUST-11375,Tracy,Barnett,Home,Active
CUST-11400,Stacey,Oconnor,Home,Active
CUST-11487,Justin,Pitts,Home,Active
CUST-11146,Katelyn,Caldwell,Home,Active
CUST-11283,Thomas,Ramirez,Home,Active
CUST-11291,Tina,Spencer,Home,Active
CUST-11389,Matthew,Martinez,Home,Active
CUST-11488,Sara,Garcia,Home,Active
CUST-11031,Karen,Wagner,Home,Active
CUST-11068,Eric,Daniels,Home,Active
CUST-11125,Jennifer,Cook,Home,Active
CUST-11145,Wendy,Lopez,Home,Active
CUST-10263,Lori,Hall,Home,Active
CUST-10204,Christopher,Cantrell,Home,Active
CUST-10237,Melissa,Morgan,Home,Active
CUST-10360,Sara,Macdonald,Home,Active
CUST-10383,Derek,Lucas,Home,Active
CUST-10622,Marc,Morales,Home,Active
CUST-10538,Joshua,Jefferson,Home,Active
CUST-10543,Ricky,Santiago,Home,Active
CUST-10837,Adrian,Robinson,Home,Active
CUST-10663,Jeffrey,Morris,Home,Active
CUST-10936,Lisa,Barnes,Home,Active
CUST-11204,Timothy,Williams,Home,Active
CUST-11221,Robin,Hampton,Home,Active
CUST-11093,Brenda,Clarke,Home,Active
CUST-11348,Kayla,Sherman,Home,Active
CUST-11048,Jessica,Combs,Home,Active
CUST-11031,Karen,Wagner,Home,Active
CUST-11125,Jennifer,Cook,Home,Active
